IsmctsAgent 0,RandomAgent 1
261,16
262,16
263,16
264,16
265,16
266,16
267,16
268,16
269,16
270,16
271,16
272,16
273,16
274,16
275,16
276,16
277,16
278,16
279,16
280,16
281,16
282,16
283,16
284,16
285,16
286,16
287,16
288,16
289,16
290,16
290,17
291,17
292,17
293,17
294,17
295,17
296,17
297,17
298,17
299,17
300,17
301,17
302,17
303,17
304,17
305,17
306,17
307,17
308,17
309,17
310,17
311,17
312,17
313,17
314,17
315,17
315,18
316,18
317,18
318,18
319,18
320,18
321,18
322,18
323,18
324,18
325,18
326,18
327,18
328,18
329,18
330,18
331,18
332,18
333,18
334,18
335,18
336,18
337,18
338,18
339,18
340,18
341,18
342,18
343,18
344,18
345,18
346,18
347,18
348,18
349,18
350,18
351,18
352,18
353,18
354,18
355,18
356,18
357,18
358,18
359,18
360,18
360,19
361,19
362,19
363,19
364,19
365,19
365,20
366,20
367,20
368,20
369,20
370,20
371,20
372,20
373,20
374,20
375,20
376,20
376,21
377,21
378,21
379,21
380,21
381,21
382,21
383,21
384,21
385,21
386,21
387,21
388,21
389,21
390,21
391,21
392,21
393,21
394,21
395,21
396,21
397,21
398,21
399,21
400,21
401,21
402,21
403,21
404,21
405,21
406,21
407,21
408,21
409,21
410,21
411,21
412,21
413,21
414,21
415,21
416,21
417,21
418,21
419,21
420,21
421,21
422,21
422,22
423,22
424,22
425,22
425,23
426,23
427,23
428,23
429,23
430,23
431,23
432,23
433,23
434,23
435,23
436,23
437,23
438,23
439,23
440,23
441,23
442,23
443,23
444,23
445,23
446,23
447,23
448,23
449,23
450,23
451,23
452,23
453,23
454,23
455,23
456,23
457,23
458,23
459,23
460,23
461,23
462,23
463,23
464,23
465,23
466,23
467,23
468,23
469,23
469,24
470,24
471,24
472,24
473,24
473,25
474,25
474,26
475,26
476,26
477,26
478,26
479,26
480,26
481,26
482,26
483,26
484,26
485,26
486,26
487,26
488,26
489,26
490,26
491,26
492,26
493,26
494,26
495,26
495,27
496,27
497,27
498,27
499,27
500,27
501,27
502,27
503,27
504,27
505,27
506,27
507,27
508,27
509,27
510,27
511,27
512,27
513,27
514,27
515,27
516,27
517,27
518,27
519,27
520,27
521,27
522,27
523,27
524,27
525,27
526,27
527,27
528,27
529,27
530,27
531,27
532,27
533,27
533,28
534,28
535,28
536,28
537,28
538,28
539,28
540,28
541,28
542,28
543,28
544,28
545,28
546,28
547,28
548,28
549,28
550,28
551,28
552,28
553,28
554,28
555,28
556,28
557,28
558,28
559,28
560,28
561,28
562,28
563,28
564,28
565,28
566,28
567,28
567,29
568,29
569,29
570,29
571,29
572,29
573,29
574,29
575,29
576,29
577,29
578,29
579,29
580,29
581,29
582,29
583,29
584,29
585,29
586,29
587,29
587,30
587,31
588,31
589,31
590,31
591,31
592,31
593,31
594,31
595,31
596,31
597,31
598,31
599,31
600,31
601,31
602,31
603,31
604,31
605,31
606,31
607,31
608,31
609,31
610,31
611,31
612,31
613,31
614,31
615,31
616,31
617,31
618,31
619,31
620,31
621,31
622,31
623,31
624,31
625,31
626,31
627,31
628,31
629,31
630,31
631,31
632,31
633,31
634,31
635,31
636,31
637,31
638,31
639,31
640,31
641,31
642,31
643,31
644,31
645,31
646,31
647,31
648,31
649,31
650,31
651,31
652,31
653,31
654,31
655,31
656,31
657,31
658,31
659,31
660,31
661,31
662,31
663,31
664,31
665,31
666,31
667,31
668,31
669,31
670,31
671,31
672,31
673,31
674,31
675,31
676,31
677,31
678,31
679,31
680,31
681,31
682,31
683,31
684,31
685,31
686,31
687,31
688,31
689,31
689,32
690,32
691,32
692,32
693,32
694,32
695,32
696,32
697,32
698,32
699,32
700,32
701,32
702,32
703,32
704,32
705,32
706,32
707,32
708,32
709,32
710,32
710,33
711,33
712,33
713,33
714,33
715,33
716,33
717,33
718,33
719,33
720,33
721,33
722,33
723,33
724,33
725,33
726,33
727,33
728,33
729,33
730,33
731,33
732,33
733,33
734,33
735,33
736,33
737,33
737,34
738,34
739,34
740,34
741,34
742,34
743,34
744,34
745,34
746,34
747,34
748,34
749,34
750,34
751,34
752,34
753,34
754,34
755,34
756,34
756,35
757,35
758,35
759,35
760,35
761,35
762,35
763,35
764,35
765,35
766,35
767,35
768,35
769,35
770,35
771,35
772,35
773,35
774,35
775,35
776,35
777,35
778,35
779,35
780,35
781,35
782,35
783,35
784,35
785,35
786,35
787,35
788,35
789,35
790,35
791,35
792,35
793,35
794,35
795,35
796,35
797,35
798,35
799,35
800,35
801,35
802,35
803,35
804,35
805,35
806,35
807,35
808,35
809,35
810,35
811,35
812,35
813,35
814,35
815,35
816,35
817,35
818,35
819,35
820,35
821,35
822,35
823,35
824,35
825,35
826,35
827,35
828,35
828,36
829,36
830,36
831,36
832,36
833,36
834,36
835,36
836,36
837,36
838,36
839,36
840,36
841,36
842,36
843,36
844,36
845,36
846,36
847,36
848,36
849,36
850,36
850,37
850,38
851,38
852,38
853,38
854,38
855,38
856,38
857,38
858,38
859,38
860,38
861,38
862,38
863,38
864,38
864,39
865,39
866,39
867,39
868,39
869,39
870,39
871,39
872,39
873,39
874,39
875,39
876,39
877,39
878,39
879,39
880,39
881,39
882,39
883,39
884,39
885,39
886,39
887,39
888,39
889,39
890,39
891,39
892,39
893,39
894,39
895,39
896,39
897,39
898,39
899,39
900,39
901,39
902,39
903,39
904,39
905,39
906,39
907,39
908,39
909,39
910,39
911,39
912,39
913,39
914,39
915,39
916,39
917,39
918,39
919,39
920,39
921,39
922,39
923,39
924,39
925,39
926,39
927,39
928,39
929,39
930,39
931,39
932,39
933,39
934,39
934,40
935,40
936,40
937,40
938,40
939,40
940,40
941,40
942,40
943,40
944,40
945,40
946,40
947,40
948,40
949,40
950,40
951,40
952,40
953,40
954,40
955,40
956,40
957,40
958,40
959,40
959,41
960,41
961,41
962,41
963,41
964,41
965,41
966,41
967,41
968,41
969,41
970,41
971,41
972,41
973,41
974,41
975,41
976,41
977,41
978,41
979,41
980,41
981,41
982,41
983,41
984,41
985,41
986,41
987,41
988,41
989,41
990,41
991,41
992,41
993,41
993,42
994,42
995,42
996,42
997,42
998,42
999,42
1000,42
1001,42
1002,42
1003,42
1004,42
1005,42
1006,42
1007,42
1008,42
1009,42
1010,42
1011,42
1012,42
1013,42
1014,42
1015,42
1016,42
1017,42
1018,42
1019,42
1020,42
1021,42
1022,42
1023,42
1024,42
1025,42
1026,42
1027,42
1028,42
1029,42
1030,42
1031,42
1032,42
1033,42
1034,42
1035,42
1036,42
1037,42
1038,42
1039,42
1040,42
1041,42
1042,42
1043,42
1044,42
1045,42
1046,42
1047,42
1048,42
1049,42
1050,42
1051,42
1051,43
1052,43
1053,43
1053,44
1054,44
1055,44
1056,44
1057,44
1057,45
1058,45
1059,45
1060,45
1061,45
1062,45
1063,45
1064,45
1065,45
1066,45
1067,45
1068,45
1069,45
1070,45
1071,45
1072,45
1073,45
1074,45
1075,45
1076,45
1077,45
1078,45
1079,45
1080,45
1081,45
1082,45
1083,45
1084,45
1085,45
1086,45
1087,45
1088,45
1089,45
1090,45
1091,45
1092,45
1093,45
1094,45
1095,45
1096,45
1097,45
1098,45
1099,45
1100,45
1101,45
1101,46
1102,46
1103,46
1104,46
1105,46
1106,46
1106,47
1107,47
1108,47
1109,47
1110,47
1111,47
1112,47
1113,47
1114,47
1115,47
1116,47
1117,47
1118,47
1119,47
1120,47
1121,47
1122,47
1123,47
1124,47
1125,47
1126,47
1127,47
1128,47
1129,47
1130,47
1131,47
1132,47
1133,47
1134,47
1135,47
1136,47
1137,47
1138,47
1139,47
1140,47
1141,47
1142,47
1143,47
1144,47
1145,47
1146,47
1147,47
1148,47
1149,47
1149,48
1150,48
1151,48
1152,48
1153,48
1154,48
1155,48
1156,48
1157,48
1158,48
1159,48
1160,48
1161,48
1162,48
1163,48
1164,48
1165,48
1166,48
1167,48
1168,48
1169,48
1170,48
1171,48
1172,48
1173,48
1174,48
1175,48
1176,48
1177,48
1177,49
1178,49
1179,49
1180,49
1181,49
1182,49
1183,49
1184,49
1185,49
1186,49
1187,49
1188,49
1189,49
1190,49
1191,49
1192,49
1193,49
1194,49
1194,50
1195,50
1196,50
1197,50
1198,50
1199,50
1200,50
1201,50
1202,50
1203,50
1204,50
1205,50
1206,50
1207,50
1208,50
1209,50
1210,50
1211,50
1212,50
1213,50
1214,50
1215,50
1216,50
1217,50
1218,50
1219,50
1220,50
1221,50
1222,50
1222,51
1223,51
1224,51
1225,51
1226,51
1227,51
1228,51
1229,51
1230,51
1230,52
1231,52
1232,52
1232,53
1233,53
1234,53
1235,53
1236,53
1237,53
1237,54
1238,54
1239,54
1240,54
1241,54
1242,54
1243,54
1244,54
1245,54
1246,54
1247,54
1248,54
1249,54
1250,54
1251,54
1252,54
1253,54
1254,54
1255,54
1256,54
1257,54
1258,54
1258,55
1259,55
1260,55
1261,55
1262,55
1263,55
1264,55
1265,55
1266,55
1267,55
1268,55
1269,55
1270,55
1271,55
1272,55
1273,55
1274,55
1275,55
1276,55
1277,55
1278,55
1279,55
1280,55
1281,55
1282,55
1283,55
1284,55
1285,55
1286,55
1287,55
1288,55
1289,55
1290,55
1291,55
1292,55
1293,55
1294,55
1295,55
1296,55
1297,55
1298,55
1299,55
1300,55
1301,55
1302,55
1303,55
1304,55
1305,55
1306,55
1307,55
1308,55
1309,55
1310,55
1311,55
1312,55
1313,55
1314,55
1315,55
1316,55
1317,55
1318,55
1319,55
1320,55
1321,55
1322,55
1323,55
1324,55
1325,55
1326,55
1327,55
1328,55
1329,55
1330,55
1331,55
1332,55
1333,55
1334,55
1335,55
1336,55
1337,55
1337,56
1338,56
1339,56
1340,56
1341,56
1342,56
1343,56
1344,56
1345,56
1346,56
1347,56
1348,56
1349,56
1350,56
1351,56
1352,56
1353,56
1354,56
1355,56
1356,56
1357,56
1358,56
1359,56
1360,56
1361,56
1362,56
1363,56
1364,56
1365,56
1366,56
1367,56
1368,56
1369,56
1370,56
1371,56
1372,56
1373,56
1374,56
1375,56
1376,56
1377,56
1378,56
1379,56
1380,56
1381,56
1382,56
1383,56
1384,56
1385,56
1386,56
1386,57
1387,57
1388,57
1389,57
1390,57
1391,57
1392,57
1393,57
1394,57
1395,57
1396,57
1397,57
1398,57
1399,57
1400,57
1401,57
1402,57
1403,57
1404,57
1405,57
1406,57
1407,57
1408,57
1409,57
1410,57
1411,57
1412,57
1413,57
1414,57
1414,58
1415,58
1416,58
1417,58
1417,59
1418,59
1419,59
1420,59
1421,59
1422,59
1423,59
1424,59
1425,59
1426,59
1427,59
1428,59
1429,59
1430,59
1431,59
1432,59
1433,59
1434,59
1435,59
1436,59
1437,59
1438,59
1438,60
1439,60
1440,60
1441,60
1442,60
1443,60
1444,60
1444,61
1445,61
1446,61
1447,61
1448,61
1449,61
1450,61
1451,61
1452,61
1453,61
1454,61
1455,61
1456,61
1457,61
1458,61
1459,61
1460,61
1461,61
1462,61
1463,61
1464,61
1465,61
1466,61
1467,61
1468,61
1469,61
1470,61
1471,61
1472,61
1472,62
1473,62
1474,62
1475,62
1476,62
1477,62
1478,62
1479,62
1480,62
1481,62
1482,62
1483,62
1484,62
1485,62
1486,62
1487,62
1488,62
1489,62
1490,62
1491,62
1492,62
1493,62
1494,62
1495,62
1496,62
1497,62
1498,62
1499,62
1500,62
1501,62
1502,62
1503,62
1504,62
1505,62
1506,62
1507,62
1508,62
1509,62
1510,62
1511,62
1512,62
1513,62
1514,62
1515,62
1516,62
1517,62
1518,62
1519,62
1520,62
1521,62
1522,62
1523,62
1524,62
1525,62
1526,62
1527,62
1528,62
1529,62
1530,62
1531,62
1531,63
1532,63
1533,63
1534,63
1535,63
1536,63
1537,63
1538,63
1539,63
1540,63
1541,63
1542,63
1543,63
1544,63
1545,63
1546,63
1547,63
1548,63
1549,63
1550,63
1551,63
1552,63
1553,63
1554,63
1555,63
1556,63
1557,63
1558,63
1559,63
1560,63
1561,63
1562,63
1563,63
1564,63
1565,63
1566,63
1567,63
1568,63
1569,63
1570,63
1571,63
1572,63
1573,63
1574,63
1575,63
1576,63
1576,64
1577,64
1578,64
1579,64
1580,64
1581,64
1582,64
1583,64
1584,64
1585,64
1586,64
1587,64
1588,64
1589,64
1590,64
1591,64
1592,64
1593,64
1594,64
1595,64
1596,64
1597,64
1598,64
1599,64
1600,64
1601,64
1602,64
1603,64
1604,64
1605,64
1606,64
1607,64
1608,64
1609,64
1610,64
1611,64
1612,64
1613,64
1614,64
1615,64
1616,64
1617,64
1618,64
1619,64
1620,64
1621,64
1622,64
1623,64
1624,64
1625,64
1626,64
1627,64
1628,64
1629,64
1630,64
1631,64
1632,64
1633,64
1634,64
1635,64
1636,64
1637,64
1638,64
1639,64
1640,64
1641,64
1642,64
1643,64
1644,64
1645,64
1646,64
1647,64
1648,64
1649,64
1650,64
1651,64
1652,64
1652,65
1653,65
1654,65
1655,65
1655,66
1656,66
1657,66
1658,66
1658,67
1659,67
1660,67
1661,67
1662,67
1663,67
1664,67
1665,67
1666,67
1667,67
1668,67
1669,67
1670,67
1671,67
1672,67
1673,67
1674,67
1675,67
1676,67
1677,67
1678,67
1679,67
1680,67
1681,67
1682,67
1683,67
1684,67
1685,67
1686,67
1687,67
1688,67
1689,67
1690,67
1691,67
1692,67
1693,67
1694,67
1695,67
1696,67
1697,67
1698,67
1699,67
1700,67
1701,67
1702,67
1703,67
1704,67
1705,67
1706,67
1707,67
1708,67
1709,67
1710,67
1711,67
1712,67
1713,67
1714,67
1715,67
1716,67
1717,67
1718,67
1719,67
1720,67
1721,67
1722,67
1723,67
1724,67
1725,67
1726,67
1727,67
1728,67
1729,67
1730,67
1731,67
1732,67
1733,67
1734,67
1735,67
1736,67
1737,67
1738,67
1739,67
1740,67
1741,67
1742,67
1743,67
1744,67
1745,67
1746,67
1747,67
1748,67
1749,67
1750,67
1751,67
1752,67
1753,67
1754,67
1755,67
1756,67
1757,67
1758,67
1759,67
1760,67
1761,67
1762,67
1763,67
1764,67
1765,67
1766,67
1767,67
1768,67
1769,67
1770,67
1771,67
1772,67
1773,67
1774,67
1775,67
1776,67
1777,67
1778,67
1779,67
1780,67
1781,67
1782,67
1783,67
1784,67
1785,67
1786,67
1787,67
1788,67
1789,67
1790,67
1791,67
1792,67
1793,67
1794,67
1795,67
1796,67
1797,67
1798,67
1799,67
1800,67
1801,67
1802,67
1803,67
1804,67
1805,67
1806,67
1807,67
1808,67
1809,67
1810,67
1811,67
1812,67
1813,67
1814,67
1815,67
1816,67
1817,67
1817,68
1818,68
1819,68
1820,68
1821,68
1822,68
1823,68
1824,68
1825,68
1826,68
1827,68
1828,68
1829,68
1830,68
1830,69
1831,69
1832,69
1833,69
1834,69
1835,69
1836,69
1837,69
1838,69
1839,69
1840,69
1841,69
1842,69
1843,69
1844,69
1845,69
1846,69
1847,69
1848,69
1849,69
1850,69
1851,69
1852,69
1853,69
1853,70
1854,70
1855,70
1855,71
1856,71
1857,71
1858,71
1859,71
1860,71
1861,71
1862,71
1863,71
1864,71
1865,71
1866,71
1867,71
1868,71
1869,71
1870,71
1871,71
1872,71
1873,71
1874,71
1875,71
1876,71
1877,71
1878,71
1879,71
1880,71
1881,71
1882,71
1883,71
1884,71
1885,71
1886,71
1887,71
1888,71
1889,71
1890,71
1891,71
1892,71
1893,71
1894,71
1895,71
1896,71
1897,71
1898,71
1899,71
1899,72
1899,73
1900,73
1901,73
1902,73
1902,74
1903,74
1904,74
1905,74
1906,74
1907,74
1907,75
1908,75
1909,75
1910,75
1911,75
1912,75
1913,75
1914,75
1915,75
1916,75
1917,75
1917,76
1918,76
1919,76
1920,76
1921,76
1922,76
1923,76
1924,76
1925,76
1926,76
1927,76
1928,76
1929,76
1930,76
1931,76
1932,76
1933,76
1934,76
1935,76
1936,76
1937,76
1938,76
1939,76
1940,76
1941,76
1942,76
1943,76
1944,76
1945,76
1946,76
1947,76
1948,76
1949,76
1950,76
1951,76
1952,76
1953,76
1954,76
1955,76
1956,76
1957,76
1958,76
1959,76
1960,76
1961,76
1962,76
1963,76
1964,76
1965,76
1966,76
1967,76
1968,76
1969,76
1970,76
1971,76
1972,76
1973,76
1974,76
1975,76
1976,76
1977,76
1978,76
1979,76
1980,76
1981,76
1982,76
1983,76
1984,76
1985,76
1986,76
1987,76
1988,76
1989,76
1990,76
1991,76
1992,76
1992,77
1993,77
1994,77
1995,77
1996,77
1997,77
1998,77
1999,77
2000,77
2001,77
2002,77
2003,77
2004,77
2005,77
2006,77
2007,77
2008,77
2009,77
2010,77
2011,77
2012,77
2013,77
2014,77
2015,77
2016,77
2016,78
2017,78
2018,78
2018,79
2019,79
2020,79
2021,79
2022,79
2023,79
2024,79
2025,79
2026,79
2027,79
2028,79
2029,79
2030,79
2031,79
2032,79
2033,79
2034,79
2035,79
2036,79
2037,79
2038,79
2039,79
2040,79
2041,79
2042,79
2043,79
2044,79
2045,79
2046,79
2047,79
2048,79
2049,79
2050,79
2051,79
2052,79
2052,80
2053,80
2054,80
2055,80
2056,80
2057,80
2058,80
2059,80
2060,80
2061,80
2062,80
2063,80
2064,80
2065,80
2066,80
2067,80
2068,80
2068,81
2069,81
2070,81
2071,81
2072,81
2073,81
2074,81
2075,81
2076,81
2077,81
2078,81
2079,81
2080,81
2081,81
2082,81
2083,81
2084,81
2085,81
2086,81
2087,81
2088,81
2089,81
2090,81
2091,81
2092,81
2093,81
2094,81
2094,82
2095,82
2096,82
2096,83
2097,83
2098,83
2099,83
2100,83
2101,83
2102,83
2103,83
2104,83
2105,83
2106,83
2107,83
2108,83
2108,84
2109,84
2110,84
2111,84
2112,84
2113,84
2114,84
2115,84
2116,84
2117,84
2118,84
2119,84
2120,84
2121,84
2122,84
2123,84
2124,84
2125,84
2126,84
2127,84
2128,84
2128,85
2129,85
2130,85
2131,85
2131,86
2132,86
2133,86
2134,86
2135,86
2136,86
2137,86
2138,86
2139,86
2139,87
2140,87
2141,87
2142,87
2143,87
2144,87
2145,87
2146,87
2147,87
2148,87
2149,87
2150,87
2151,87
2152,87
2153,87
2154,87
2155,87
2156,87
2157,87
2158,87
2159,87
2160,87
2161,87
2162,87
2163,87
2164,87
2165,87
2166,87
2167,87
2168,87
2169,87
2170,87
2171,87
2172,87
2173,87
2174,87
2175,87
2176,87
2177,87
2178,87
2179,87
2180,87
2181,87
2182,87
2183,87
2184,87
2185,87
2186,87
2187,87
2188,87
2189,87
2190,87
2191,87
2192,87
2193,87
2193,88
2194,88
2195,88
2196,88
2197,88
2198,88
2199,88
2200,88
2201,88
2202,88
2203,88
2204,88
2205,88
2206,88
2207,88
2208,88
2209,88
2210,88
2211,88
2212,88
2213,88
2214,88
2215,88
2216,88
2217,88
2218,88
2219,88
2220,88
2221,88
2222,88
2223,88
2224,88
2225,88
2226,88
2227,88
2228,88
2229,88
2230,88
2231,88
2232,88
2233,88
2234,88
2235,88
2236,88
2237,88
2238,88
2239,88
2240,88
2241,88
2242,88
2243,88
2244,88
2245,88
2246,88
2247,88
2248,88
2249,88
2250,88
2251,88
2252,88
2253,88
2254,88
2255,88
2256,88
2257,88
2258,88
2259,88
2260,88
2261,88
2262,88
2263,88
2264,88
2265,88
2266,88
2267,88
2268,88
2269,88
2270,88
2271,88
2272,88
2273,88
2274,88
2275,88
2276,88
2277,88
2278,88
2279,88
2280,88
2281,88
2282,88
2283,88
2284,88
2285,88
2286,88
2287,88
2288,88
2289,88
2290,88
2291,88
2292,88
2293,88
2294,88
2295,88
2296,88
2297,88
2298,88
2299,88
2300,88
2300,89
2301,89
2302,89
2303,89
2304,89
2305,89
2306,89
2307,89
2308,89
2309,89
2310,89
2311,89
2312,89
2313,89
2314,89
2315,89
2316,89
2317,89
2318,89
2319,89
2320,89
2321,89
2322,89
2323,89
2324,89
2325,89
2326,89
2327,89
2328,89
2329,89
2330,89
2331,89
2332,89
2333,89
2334,89
2335,89
2336,89
2337,89
2338,89
2339,89
2340,89
2341,89
2342,89
2343,89
2344,89
2345,89
2346,89
2347,89
2348,89
2349,89
2350,89
2351,89
2352,89
2353,89
2354,89
2355,89
2356,89
2357,89
2358,89
2359,89
2360,89
2361,89
2362,89
2363,89
2364,89
2365,89
2366,89
2367,89
2368,89
2369,89
2370,89
2371,89
2372,89
2373,89
2374,89
2375,89
2375,90
2376,90
2377,90
2378,90
2379,90
2380,90
2381,90
2382,90
2382,91
2383,91
2384,91
2385,91
2386,91
2387,91
2388,91
2389,91
2390,91
2391,91
2392,91
2393,91
2393,92
2394,92
2395,92
2396,92
2397,92
2398,92
2399,92
2400,92
2401,92
2402,92
2403,92
2404,92
2405,92
2406,92
2407,92
2408,92
2409,92
2410,92
2411,92
2412,92
2413,92
2414,92
2415,92
2416,92
2417,92
2418,92
2419,92
2420,92
2421,92
2422,92
2423,92
2424,92
2425,92
2426,92
2427,92
2428,92
2429,92
2430,92
2431,92
2432,92
2433,92
2434,92
2435,92
2436,92
2437,92
2438,92
2439,92
2440,92
2441,92
2441,93
2442,93
2443,93
2444,93
2445,93
2446,93
2447,93
2448,93
2449,93
2450,93
2451,93
2452,93
2453,93
2454,93
2455,93
2456,93
2457,93
2458,93
2459,93
2460,93
2461,93
2462,93
2463,93
2464,93
2465,93
2466,93
2467,93
2468,93
2469,93
2470,93
2471,93
2472,93
2473,93
2474,93
2475,93
2476,93
2477,93
2478,93
2479,93
2480,93
2481,93
2482,93
2483,93
2484,93
2485,93
2486,93
2487,93
2488,93
2489,93
2490,93
2491,93
2492,93
2493,93
2494,93
2495,93
2496,93
2497,93
2498,93
2498,94
2499,94
2500,94
2501,94
2502,94
2503,94
2504,94
2505,94
2506,94
2507,94
2508,94
2509,94
2510,94
2511,94
2512,94
2513,94
2514,94
2515,94
2516,94
2517,94
2518,94
2519,94
2520,94
2521,94
2522,94
2523,94
2524,94
2525,94
2525,95
2526,95
2527,95
2528,95
2529,95
2530,95
2531,95
2532,95
2533,95
2534,95
2535,95
2536,95
2536,96
2537,96
2538,96
2539,96
2540,96
2541,96
2542,96
2543,96
2544,96
2545,96
2546,96
2547,96
2548,96
2548,97
2549,97
2550,97
2551,97
2552,97
2553,97
2554,97
2554,98
2555,98
2556,98
2557,98
2558,98
2559,98
2560,98
2561,98
2562,98
2563,98
2564,98
2565,98
2566,98
2567,98
2568,98
2569,98
2570,98
2571,98
2572,98
2573,98
2574,98
2575,98
2576,98
2577,98
2578,98
2579,98
2580,98
2581,98
2582,98
2583,98
2584,98
2585,98
2586,98
2587,98
2588,98
2589,98
2590,98
2590,99
2591,99
2592,99
2593,99
2594,99
2595,99
2596,99
2597,99
2598,99
2599,99
2600,99
2601,99
2602,99
2603,99
2604,99
2605,99
2606,99
2607,99
2607,100
2607,101
2608,101
2609,101
2610,101
2611,101
2612,101
2612,102
2613,102
2614,102
2615,102
2616,102
2617,102
2618,102
2619,102
2620,102
2621,102
2622,102
2623,102
2624,102
2625,102
2626,102
2627,102
2628,102
2629,102
2630,102
2631,102
2632,102
2633,102
2634,102
2635,102
2636,102
2637,102
2638,102
2639,102
2640,102
2640,103
2641,103
2642,103
2643,103
2644,103
2645,103
2646,103
2647,103
2648,103
2649,103
2650,103
2651,103
2652,103
2652,104
2653,104
2654,104
2654,105
2655,105
2656,105
2657,105
2658,105
2659,105
2660,105
2661,105
2662,105
2663,105
2664,105
2665,105
2666,105
2667,105
2668,105
2669,105
2670,105
2671,105
2672,105
2673,105
2674,105
2675,105
2676,105
2677,105
2678,105
2679,105
2680,105
2681,105
2682,105
2683,105
2684,105
2685,105
2686,105
2687,105
2688,105
2689,105
2690,105
2691,105
2692,105
2693,105
2694,105
2695,105
2696,105
2697,105
2698,105
2699,105
2700,105
2701,105
2702,105
2703,105
2704,105
2705,105
2706,105
2707,105
2708,105
2709,105
2710,105
2711,105
2712,105
2713,105
2714,105
2715,105
2716,105
2717,105
2718,105
2718,106
2719,106
2720,106
2721,106
2722,106
2723,106
2724,106
2725,106
2726,106
2727,106
2728,106
2729,106
2730,106
2731,106
2732,106
2733,106
2734,106
2735,106
2736,106
2737,106
2738,106
2739,106
2740,106
2741,106
2742,106
2743,106
2744,106
2745,106
2746,106
2747,106
2748,106
2749,106
2750,106
2751,106
2752,106
2753,106
2754,106
2755,106
2756,106
2757,106
2758,106
2759,106
2760,106
2761,106
2762,106
2763,106
2764,106
2765,106
2766,106
2767,106
2768,106
2769,106
2770,106
2771,106
2772,106
2773,106
2774,106
2775,106
2776,106
2776,107
2777,107
2778,107
2779,107
2780,107
2781,107
2782,107
2783,107
2784,107
2785,107
2786,107
2787,107
2788,107
2789,107
2790,107
2791,107
2792,107
2793,107
2794,107
2795,107
2796,107
2797,107
2798,107
2799,107
2800,107
2801,107
2802,107
2803,107
2804,107
2805,107
2806,107
2807,107
2808,107
2809,107
2810,107
2811,107
2812,107
2813,107
2814,107
2815,107
2816,107
2817,107
2818,107
2819,107
2820,107
2821,107
2822,107
2823,107
2824,107
2825,107
2826,107
2827,107
2828,107
2829,107
2830,107
2831,107
2832,107
2833,107
2834,107
2835,107
2836,107
2837,107
2838,107
2839,107
2840,107
2841,107
2842,107
2842,108
2843,108
2844,108
2845,108
2846,108
2847,108
2848,108
2849,108
2850,108
2851,108
2852,108
2853,108
2854,108
2855,108
2856,108
2857,108
2858,108
2859,108
2860,108
2861,108
2862,108
2863,108
2864,108
2865,108
2865,109
2866,109
2867,109
2868,109
2869,109
2870,109
2871,109
2872,109
2873,109
2874,109
2875,109
2876,109
2877,109
2878,109
2879,109
2880,109
2881,109
2881,110
2882,110
2883,110
2884,110
2885,110
2886,110
2887,110
2888,110
2889,110
2890,110
